Age,Education Level,Internet Connection,Marital Status,Num Bathrooms,Num Bedrooms,Num Cars,Num Children,Num TVs,PPV Freq,Prerec Buying Freq,Prerec Format,Prerec Renting Freq,Prerec Viewing Freq,Theater Freq,TV Movie Freq,TV Signal,Home Ownership,Female,Male
30,3,1,1,2.0,4,2,0,2,2,2,1,2,1,3,2,2,Own,0,1
26,2,1,2,2.5,3,1,0,1,1,2,1,3,2,1,2,2,Own,0,1
26,2,2,1,2.5,2,1,0,2,2,1,1,2,2,1,4,1,Own,1,0
31,2,0,2,2.5,4,1,0,2,2,1,1,3,2,2,4,3,Own,0,1
43,6,1,3,3.0,3,1,0,1,2,2,1,5,4,2,1,2,Rent,0,1
42,5,0,1,2.0,3,3,2,3,2,2,1,1,3,2,4,2,Own,0,1
35,3,1,1,2.0,5,3,2,2,2,2,4,3,2,1,5,1,Own,0,1
26,2,1,1,2.0,2,2,0,2,1,1,1,3,2,3,2,2,Rent,0,1
36,2,0,1,3.0,4,2,2,2,2,2,1,3,2,1,2,2,Own,0,1
31,3,2,0,1.0,2,1,0,1,2,3,1,3,2,2,2,2,Own,1,0
28,3,0,2,1.0,1,1,0,2,3,2,1,3,2,3,3,2,Rent,0,1
43,2,2,0,2.5,3,2,2,3,1,2,4,3,2,1,2,2,Own,1,0
30,2,1,2,2.0,2,1,0,3,3,2,4,3,2,5,3,3,Own,0,1
24,2,1,1,2.5,3,2,0,3,2,4,1,2,2,1,1,3,Own,1,0
32,3,0,1,2.5,4,2,2,2,3,2,1,2,1,1,4,2,Own,0,1
26,3,0,2,1.0,1,1,0,2,2,1,1,1,1,3,3,2,Rent,0,1
28,5,2,1,1.0,1,1,0,1,2,3,1,1,3,1,3,3,Rent,0,1
26,2,0,2,2.5,3,1,0,2,1,2,1,2,1,3,1,2,Own,0,1
32,3,1,1,2.5,4,1,0,2,2,2,5,1,5,2,1,1,Own,1,0
34,2,2,1,1.5,4,3,0,2,3,1,1,2,1,2,1,3,Own,0,1
33,3,0,1,1.0,2,1,1,1,2,2,1,2,1,2,2,2,Rent,0,1
23,2,1,2,2.0,2,1,0,1,2,2,1,2,1,1,4,2,Rent,0,1
36,3,2,1,2.5,3,1,1,2,2,2,4,2,1,2,2,3,Own,0,1
39,2,2,1,2.0,4,5,2,4,2,2,1,2,1,2,5,1,Own,0,1
35,9,2,1,2.5,4,2,0,3,1,2,1,1,4,2,3,2,Own,0,1
38,2,0,1,2.5,3,2,0,3,2,1,1,3,2,2,1,3,Own,0,1
